artist,album,albumyear,bayesian,votes,rating,played
David Maxim Micic,Ego,2015,4.66,6,4.75,14
David Maxim Micic,Eco,2015,4.53,7,4.57,11
David Maxim Micic,Bilo 3.0,2013,4.63,8,4.69,49
David Maxim Micic,Bilo 2.0,2012,4.53,7,4.57,11
David Maxim Micic,Bilo EP,2011,4.75,3,5.00,3
David Minasian,The Sound Of Dreams,2020,4.34,12,4.33,32
David Sylvian,Secrets Of The Beehive,1987,4.36,7,4.36,33
David Sylvian; Nine Horses,Snow Borne Sorrow,2005,4.18,5,4.10,26
David Valdes,World In Obscure,2013,4.46,4,4.50,22
David Valdes,Imhotep,2006,4.21,9,4.17,39
David Valdes,.Paradise Lost.,2002,4.39,5,4.40,25
Dawn,Darker,2014,4.19,2,4.00,23
Dawn,Loneliness,2007,4.25,5,4.20,61
Day Shift,Imaginary Menagerie,2005,4.32,2,4.25,49
Day Six,Solitary League,2017,4.34,12,4.33,41
Day Six,Samples of Genetic Wisdom Captured to Survive,2012,4.68,5,4.80,18
Day Six,The Grand Design,2010,4.63,15,4.67,39
Day Six,Eternal Dignity,2002,4.65,17,4.68,36
Daydream XI,The Circus Of The Tattered And Torn,2017,4.64,11,4.68,53
Daydream XI,The Grand Disguise,2014,4.44,2,4.50,4
Daymoon,Cruz Quebrada,2016,4.15,3,4.00,4
Days Before Tomorrow,The Sky Is Falling,2009,3.94,2,3.50,56
Days Between Stations,Giants,2020,4.86,17,4.91,69
Days Between Stations,In Extremis,2013,4.51,29,4.52,277
Days Between Stations,Days Between Stations,2007,4.04,4,3.88,131
De Lorians,De Lorians,2019,3.69,2,3.00,10
Dead Air Radio,Signal To Noise Ratio,2007,4.81,15,4.87,43
Dead Can Dance,Within The Realm Of A Dying Sun,2008,4.69,10,4.75,30
Dead Can Dance,Memento,2005,3.88,4,3.63,200
Dead Can Dance,The Serpent's Egg,1988,4.05,3,3.83,15
Dead End Space,Cosmic Comedian,2022,4.33,8,4.31,13
Dead End Space,The Resistance,2018,4.19,2,4.00,4
Dead End Space,Distortion Of Senses,2013,4.09,1,3.50,3
Dead Heroes Club,Everything Is Connected,2013,4.14,7,4.07,28
Dead Heroes Club,A Time Of Shadow,2009,4.43,8,4.44,97
Dead Heroes Club,Dead Heroes Club,2004,4.60,15,4.63,235
Dead Letter Circus,The Catalyst Fire,2013,4.25,1,4.00,1
Dead Letter Circus,This Is The Warning,2010,4.69,2,5.00,22
Dead Letter Circus,Dead Letter Circus,2007,4.25,1,4.00,2
Dead Meadow,Dead Meadow,2006,4.25,1,4.00,24
Dead Soul Tribe,A Lullaby For The Devil,2007,4.83,37,4.85,101
Dead Soul Tribe,The Dead Word,2005,4.75,17,4.79,41
Dead Soul Tribe,The January Tree,2004,4.77,36,4.79,125
Dead Soul Tribe,A Murder Of Crows,2003,4.83,31,4.85,104
Dead Soul Tribe,Dead Soul Tribe,2002,4.51,16,4.53,64
Deadly Circus Fire,The Hydra's Tailor,2015,4.09,1,3.50,2
Deadly Sin,Sunborn,2003,4.07,2,3.75,8
Deadwood Forest,Mellodramatic,2000,4.39,5,4.40,206
Deafening Opera,Driftwood,2021,4.42,1,4.50,30
Deafening Opera,Let Silence Fall,2018,3.89,5,3.70,9
Dean Watson,Track Of Days,2018,4.45,3,4.50,10
Dean Watson,Sum Of Parts,2017,4.05,3,3.83,4
Deaton LeMay Project,The Fifth Element,2022,4.45,14,4.46,16
Deaton LeMay Project,Day After Yesterday,2019,4.44,2,4.50,3
Dec Burke,Life In Two Dimensions,2021,4.25,7,4.21,16
Dec Burke,Book Of Secrets,2016,4.62,13,4.65,132
Dec Burke,Paradigms & Storylines,2011,4.31,10,4.30,77
Dec Burke,Destroy All Monsters,2010,4.77,27,4.80,742
Decimals,Symmetry,2021,4.47,7,4.50,24
DeeExpus,King Of Number 33,2011,4.41,6,4.42,12
DeeExpus,Half Way Home,2008,4.77,21,4.81,635
Deep Limbic System,The Embryo EP,2014,4.52,10,4.55,197
Deep Limbic System,A Ceiling Of Stars,2014,4.45,3,4.50,2
Deep Purple,Infinite,2017,4.52,9,4.56,31
Deep Purple,Now What?!,2013,4.33,11,4.32,11
Deep Purple,Rapture Of The Deep,2005,4.75,3,5.00,13
Deep Purple,Purpendicular,1996,4.49,19,4.50,26
Deep Purple,Perfect Strangers (Remastered),1984,4.66,9,4.72,16
Deep Purple,Machine Head (CD1 Remastered),1972,4.90,11,5.00,35
Deep Purple,Machine Head (CD2 Remastered),1972,4.81,20,4.85,53
Deep Purple,Burn (Remastered),1972,4.83,8,4.94,41
Deep Purple,Made In Japan (25th Anniversary Edition) (Cd 2),1972,4.78,6,4.92,35
Deep Purple,Made In Japan (25th Anniversary Edition) (Cd 1),1972,4.66,12,4.71,22
Deep Purple,In Rock (Anniversary Edition),1970,4.75,3,5.00,7
Deep Purple,Deep Purple,1969,4.65,10,4.70,40
Deep Purple,Shades Of Deep Purple,1968,4.86,10,4.95,21
Deep Purple,The Book Of Taliesyn,1968,4.45,3,4.50,9
Deep Space Destructors,Psychedelogy,2017,4.07,2,3.75,8
Deep Space Destructors,III,2014,3.91,6,3.75,12
Defecto,Nemesis,2017,4.32,2,4.25,4
Defyance,Transitional Forms,2002,4.25,1,4.00,11
Defying,Nexus Artificial,2015,4.32,2,4.25,2
Degree Absolute,Degree Absolute,2006,4.57,15,4.60,38
Degrees Of Truth,The Reins Of Life,2016,4.25,1,4.00,1
Deja-Vu,Between The Leaves,1976,4.12,13,4.08,90
Delain,Apocalypse & Chill,2020,4.53,21,4.55,81
Delain,Hunter's Moon,2019,4.38,4,4.38,3
Delain,Lunar Prelude EP,2016,4.65,3,4.83,12
Delain,Moonbathers (Deluxe Edition),2016,4.35,6,4.33,31
Delain,Interlude,2013,4.53,7,4.57,16
Delain,We Are The Others,2012,4.68,28,4.70,67
Delain,April Rain,2009,4.41,6,4.42,41
Delain,Lucidity,2006,4.46,4,4.50,8
Delight,The Fading Tale,2001,4.25,5,4.20,16
Delight,Last temptation,2000,4.35,3,4.33,22
Delirium,Primer Dialogo,1985,4.09,1,3.50,10
Delta,The End Of Philosophy,2013,4.32,2,4.25,2
Deluge Grander,Oceanarium,2017,3.97,7,3.86,24
Deluge Grander,Heliotians,2014,3.89,5,3.70,6
Deluge Grander,The Form of the Good,2009,4.15,3,4.00,13
Deluge Grander,August in the Urals,2006,4.35,3,4.33,18
Delusion Squared,Anthropocene,2018,4.14,7,4.07,11
Delusion Squared,The Final Delusion,2014,4.57,9,4.61,87
Delusion Squared,II,2012,4.65,13,4.69,204
Delusion Squared,Delusion Squared,2010,4.29,11,4.27,436
Delvoid,Swarmlife,2022,4.47,6,4.50,4
Delvoid,Serene,2015,4.42,1,4.50,3
Demon Fuzz,Afreaka!,1970,4.25,5,4.20,22
Demons & Wizards,III,2020,4.73,29,4.76,85
Demons & Wizards,Touched by the Crimson King,2005,4.57,15,4.60,54
Demons & Wizards,Demons & Wizards,1999,4.43,9,4.44,37
Derek Sherinian,Vortex,2022,4.68,24,4.71,22
Derek Sherinian,The Phoenix,2020,4.49,24,4.50,34
Derek Sherinian,Oceana,2011,4.42,13,4.42,15
Derek Sherinian,Molecular Heinosity,2009,4.23,10,4.20,13
Derek Sherinian,Blood Of The Snake,2006,4.63,12,4.67,33
Derek Sherinian,Mythology,2004,4.38,12,4.38,25
Derek Sherinian,Black Utopia,2003,4.82,22,4.86,47
Derek Sherinian,Inertia,2001,4.48,10,4.50,24
Derek Sherinian,Planet X,1999,4.52,12,4.54,18
Deventter,Empty Set,2013,4.47,6,4.50,10
Deventter,Lead...On,2009,4.73,8,4.81,14
Devin Townsend,Lightwork,2022,4.02,11,3.95,8
Devin Townsend,Order Of Magnitude - Empath Live Volume 1,2020,4.61,27,4.63,46
Devin Townsend,Empath,2019,4.36,17,4.35,65
Devin Townsend,Casualties Of Cool,2014,4.40,42,4.40,369
Devin Townsend,Ziltoid The Omniscient,2007,4.60,21,4.62,88
Devin Townsend,Synchestra,2006,4.48,11,4.50,35
Devin Townsend,Accelerated Evolution,2003,4.72,22,4.75,67
Devin Townsend,Terria,2001,4.91,17,4.97,110
Devin Townsend,Infinity,1998,4.53,7,4.57,24
Devin Townsend,Ocean Machine Biomech,1997,4.80,14,4.86,63
Devin Townsend Project,Transcendence,2016,4.83,28,4.86,137
Devin Townsend Project,Ziltoid Live at the Royal Albert Hall,2015,4.70,29,4.72,174
Devin Townsend Project,Z² - Dark Matters,2014,4.79,16,4.84,56
Devin Townsend Project,Z² - Sky Blue,2014,4.57,24,4.58,77
Devin Townsend Project,Z² - Dark Matters - Raw,2014,4.55,3,4.67,19
Devin Townsend Project,The Retinal Circus (CD1),2013,4.71,9,4.78,41
Devin Townsend Project,The Retinal Circus (CD2),2013,4.40,10,4.40,69
Devin Townsend Project,Epicloud,2012,4.71,11,4.77,45
Devin Townsend Project,Ghost,2011,4.59,17,4.62,283
Devin Townsend Project,Deconstruction,2011,4.45,21,4.45,69
Devin Townsend Project,Addicted,2009,4.70,7,4.79,39
Devin Townsend Project,Ki,2009,4.51,31,4.52,295
Dewa Budjana,Mahandini,2018,4.64,7,4.71,10
DeWolff,Strange Fruits and Undiscovered Plants,2009,4.04,4,3.88,20
Dezo Ursiny,Pevnina Detstva,1978,4.19,2,4.00,8
DGM,Tragic Separation,2020,4.63,20,4.65,50
DGM,The Passage,2016,4.47,7,4.50,27
DGM,Momentum,2013,4.48,8,4.50,10
DGM,FrAme,2009,4.47,6,4.50,9
DGM,Different Shapes,2007,4.66,6,4.75,27
DGM,Misplaced,2004,4.38,4,4.38,17
DGM,Hidden Place,2003,4.52,10,4.55,41
DGM,Dreamland,2001,4.15,3,4.00,21
DGM,Wings Of Time,1999,4.35,3,4.33,12
Diablo Swing Orchestra,Swagger & Stroll Down the Rabbit Hole,2021,4.10,21,4.07,27
Diablo Swing Orchestra,Pacifisticuffs,2017,4.49,24,4.50,30
Diablo Swing Orchestra,Pandora's Piñata,2012,4.55,23,4.57,68
Diablo Swing Orchestra,Songs For The Damned & Delirious,2009,4.41,36,4.42,58
Diablo Swing Orchestra,The Butcher's Ballroom,2006,4.57,15,4.60,33
Diabulus in Musica,Euphonic Entropy,2020,4.15,3,4.00,22
Diabulus in Musica,Dirge For The Archons,2016,4.48,8,4.50,15
Diabulus in Musica,Argia,2014,4.31,7,4.29,12
Diagonal,4,2021,4.68,5,4.80,11
Diagonal,Arc,2019,3.69,2,3.00,12
Diagonal,The Second Mechanism,2012,4.07,2,3.75,18
Diagonal,Diagonal,2008,3.82,2,3.25,8
Dialeto,Live With David Cross,2018,4.38,4,4.38,3
Dialeto,Bartók In Rock,2017,4.15,3,4.00,4
Dialeto,The Last Tribe,2013,4.10,6,4.00,4
Dianoya,Lidocaine,2012,4.16,6,4.08,4
Dianoya,Obscurity Divine,2010,4.64,11,4.68,34
Diapasão,Opus 1.,2006,3.92,1,3.00,75
Dice,Chance For The Link Of A Chain,2017,4.02,10,3.95,22
Dice,X Is Double-Two on the Dice-Map,2016,3.97,5,3.80,11
Dice,Within vs. Without Next Part,2007,4.35,6,4.33,24
Dice,Waterworld,2002,4.39,5,4.40,22
Dice,Dice in Space,2001,4.19,2,4.00,11
Different Light,Binary Suns (Part 1- Operant Condition),2020,4.64,14,4.68,73
Different Light,The Burden of Paradise,2016,4.53,25,4.54,381
Different Strings,"The Sounds Of Silence, Pt II The Counterfeits",2015,4.60,6,4.67,19
Different Strings,"The Sounds Of Silence, Pt I The Counterparts",2011,4.45,3,4.50,6
Digital Ruin,Dwelling In The Out,2000,4.19,2,4.00,6
Dilemma,Random Acts of Liberation,2018,4.48,10,4.50,60
Dillinger Escape Plan,Ire Works,2007,4.42,1,4.50,5
Dillinger Escape Plan,Miss Machine,2004,3.94,2,3.50,7
Dillinger Escape Plan,Calculating Infinity,1999,4.18,5,4.10,9
Dim Gray,Firmament,2022,4.15,3,4.00,2
Dimension,Revolution,2014,4.32,2,4.25,4
Dimension,Ego,2013,4.15,3,4.00,2
Dimension Eleven,The Transcendental Journey,2019,4.19,2,4.00,8
Dimension X,Implications Of A Genetic Defense,2007,4.07,2,3.75,4
Dimension X,So...This Is Earth,2005,4.42,1,4.50,9
Discipline,Captives Of The Wine Dark Sea,2017,4.67,20,4.70,27
Discipline,This One's For England,2013,4.32,13,4.31,73
Discipline,To Shatter All Accord,2011,4.61,5,4.70,27
Discipline,Live Days CD2,2010,4.57,2,4.75,3
Discipline,Live Days CD1,2010,4.35,3,4.33,2
Discipline,Discipline Live; Into the Dream…,1999,4.54,4,4.62,5
Discipline,Unfolded Like Staircase (2021 Terry Brown Mix),1997,4.88,13,4.96,18
Discipline,Unfolded Like Staircase,1997,4.82,13,4.88,268
Discipline,Push And Profit,1993,4.41,6,4.42,239
Disconnect,Planned Obsolescence,2014,4.09,1,3.50,12
Disconnect,Enough Blame To Go Around,2012,4.04,4,3.88,10
Disconnect,Obscuros,2010,3.95,3,3.67,16
Disconnected,We Are Disconnected,2022,4.46,4,4.50,9
Disen Gage,The Big Adventure,2019,3.85,3,3.50,13
Disen Gage,Snapshots,2016,4.21,4,4.13,23
Disen Gage,... The Reverse May Be True,2008,3.96,4,3.75,33
Disen Gage,Libertage,2006,4.19,2,4.00,15
Disen Gage,The Screw-Loose Entertainment,2004,4.05,3,3.83,10
Disillusion,Alea,2016,4.63,4,4.75,4
Disillusion,Gloria,2006,4.75,3,5.00,6
Disillusion,Back To Times Of Splendor,2004,4.25,7,4.21,20
Disperse,Foreword,2017,4.61,14,4.64,62
Disperse,Living Mirrors,2013,4.42,1,4.50,16
Disperse,Journey Through The Hidden Gardens,2010,4.44,2,4.50,5
Dissona,Paleopneumatic,2016,4.09,1,3.50,1
Distorted Harmony,A Way Out,2018,4.25,5,4.20,13
Distorted Harmony,Chain Reaction,2014,4.75,7,4.86,41
Distorted Harmony,Utopia,2012,4.66,6,4.75,38
District 97,Screens,2019,4.43,22,4.43,58
District 97,In Vaults,2015,4.37,38,4.37,116
District 97,One More Red Night,2014,4.53,7,4.57,46
District 97,Trouble With Machines,2012,4.57,29,4.59,367
District 97,Hybrid Child,2010,4.24,14,4.21,234
Divided Multitude,Inner Self,1999,3.92,1,3.00,5
Divided Sky,The Subtle Art of Failure,2006,4.56,10,4.60,17
Divine Ascension,The Uncovering,2018,4.44,2,4.50,6
Divine Ascension,Liberator,2014,4.25,1,4.00,3
Divine Ascension,As The Truth Appears,2011,4.19,2,4.00,4
Divine Ratio,Split by Unity,2012,4.47,6,4.50,174
Divine Realm,Tectum Argenti,2016,4.25,1,4.00,1
Divine Regale,Horizons,1997,4.25,1,4.00,3
Divinity Compromised,A World Torn,2013,4.25,1,4.00,1
Divinity Destroyed,Nova,2013,4.19,2,4.00,2
Division by Zero,Independent Harmony,2010,4.47,5,4.50,15
Division by Zero,Tyranny of Therapy,2007,4.68,5,4.80,19
Division by Zero,Code Of Soul,2004,4.19,2,4.00,2
Dixie Dregs,Greatest Hits Live (King Biscuit Flower Hour Archive Series),2003,4.63,20,4.65,121
Dixie Dregs,California Screamin',2000,4.71,4,4.88,22
Dixie Dregs,Full Circle,1994,4.25,5,4.20,12
Dixie Dregs,Bring 'em Back Alive,1992,4.75,13,4.81,97
Dixie Dregs,Industry Standard,1982,4.62,17,4.65,175
Dixie Dregs,Unsung Heroes,1981,4.53,24,4.54,182
Dixie Dregs,Dregs Of The Earth,1980,4.64,35,4.66,176
Dixie Dregs,Night Of The Living Dregs,1979,4.15,3,4.00,11
Dixie Dregs,What If,1978,4.47,6,4.50,17
Dixie Dregs,Free Fall,1977,4.67,14,4.71,41
Dizzy Mystics,Wanderlost,2019,4.28,8,4.25,37
Djam Karet,A Sky Full Of Stars For A Roof,2019,4.51,16,4.53,51
Djam Karet,Sonic Celluloid,2017,4.75,7,4.86,51
Djam Karet,Regenerator 3017,2014,4.68,5,4.80,36
Djam Karet,The Heavy Soul Sessions,2010,4.09,1,3.50,69
Djam Karet,The Devouring,1997,4.71,11,4.77,109
Dmitry Demyanenko,Universe,2018,4.47,5,4.50,10
Docker's Guild,The Heisenberg Diaries (Book A: Sounds Of Future Passed),2016,4.25,15,4.23,57
Docker's Guild,The Mystic Technocracy (Season 1: The Age Of Ignorance),2012,4.43,24,4.44,168
Dol Ammad,Star Tales,2004,4.29,11,4.27,21
Domain,The Essence Of Glory (Best Of 1988-2005),2006,4.42,1,4.50,5
Domain,Stardawn,2006,4.09,1,3.50,2
Domain,Last Days Of Utopia,2005,4.25,1,4.00,5
Dominici,O3 A Trilogy - Part 3,2008,4.70,27,4.72,63
Dominici,O3 A Trilogy - Part 2,2007,4.74,30,4.77,82
Doug Notter,Terra Incognita.,2004,4.07,2,3.75,35
Downes Braide Association,Skyscraper Souls,2017,4.40,16,4.41,137
Downes Braide Association,Suburban Ghosts,2015,4.38,4,4.38,40
Downlouders,Arca,2016,4.14,7,4.07,34
DP's Powersquad,Mysterizer,2020,4.05,3,3.83,17
DP's Powersquad,...From The GlassVoid,2013,4.44,2,4.50,3
Dr. Z,Three Parts To My Soul,1971,3.89,5,3.70,14
Dreadnaught,Northern Burner,2021,4.13,4,4.00,9
Dreadnaught,Hard Chargin',2017,4.38,8,4.38,42
Dreadnaught,Gettin' Tight With Dreadnaught,2015,3.97,6,3.83,12
Dreadnaught,Have A Drink With Dreadnaugt,2013,4.03,7,3.93,47
Dreadnaught,The American Standard,2001,4.32,5,4.30,44
Dreadnaught,Una Vez Mas,2000,4.18,5,4.10,54
Dreadnaught,Dreadnaught,1998,4.09,1,3.50,3
Dreadnought,The Endless,2022,4.39,5,4.40,6
Dream Aria,Out of the Void,2020,4.29,4,4.25,4
Dream Aria,On The Other Side,2017,4.09,1,3.50,3
Dream Aria,Transcend,2008,4.19,2,4.00,2
Dream of Illusion,Evolution,2016,3.92,1,3.00,1
Dream the Electric Sleep,The Giant's Newground,2018,4.55,14,4.57,29
Dream the Electric Sleep,Beneath The Dark Wide Sky,2016,4.37,27,4.37,218
Dream the Electric Sleep,Heretics,2014,4.65,17,4.68,227
Dream the Electric Sleep,Lost And Gone Forever,2011,4.23,8,4.19,48
Dream Theater,A View From The Top Of The World,2021,4.64,40,4.65,62
Dream Theater,Distant Memories - Live In London 2020,2020,4.89,36,4.92,63
Dream Theater,Distance Over Time,2019,3.94,43,3.92,79
Dream Theater,The Astonishing,2016,4.58,38,4.59,68
Dream Theater,Dream Theater,2013,4.65,23,4.67,75
Dream Theater,A Dramatic Turn Of Events,2011,4.67,29,4.69,60
Dream Theater,Black Clouds & Silver Linings (Disc 1),2009,4.85,16,4.91,59
Dream Theater,Black Clouds & Silver Linings (Disc 2) (Bonus Disc): Uncovered 2008/2009,2009,4.82,16,4.87,83
Dream Theater,Black Clouds & Silver Linings (Disc 3) (Bonus Disc): Black Clouds & Silver Linings (Instrumental Mixes),2009,4.57,9,4.61,31
Dream Theater,Chaos In Motion (Disc 1),2008,4.88,13,4.96,57
Dream Theater,Chaos In Motion (Disc 3),2008,4.79,11,4.86,36
Dream Theater,Chaos In Motion (Disc 2),2008,4.81,7,4.93,34
Dream Theater,Greatest Hit (...And 21 Other Pretty Cool Songs),2008,4.69,15,4.73,54
Dream Theater,Systematic Chaos,2007,4.39,33,4.39,127
Dream Theater,Dark Side Of The Moon (Official Bootleg),2006,4.79,16,4.84,55
Dream Theater,Score - 20th Anniversary World Tour (CD1),2006,4.79,11,4.86,18
Dream Theater,Score - 20th Anniversary World Tour (CD2),2006,4.79,11,4.86,28
Dream Theater,Score - 20th Anniversary World Tour (CD3),2006,4.71,11,4.77,22
Dream Theater,Awake Demos 1994,2006,4.57,9,4.61,36
Dream Theater,Octavarium,2005,4.86,39,4.88,113
Dream Theater,Live At Budokan (Disc 2),2004,4.89,19,4.95,45
Dream Theater,Live At Budokan (Disc 3),2004,4.78,6,4.92,34
Dream Theater,Live At Budokan (Disc 1),2004,4.67,11,4.73,11
Dream Theater,A Sort Of Homecoming - DTIFC CD 2004,2004,4.69,2,5.00,8
Dream Theater,Train of Thought,2003,4.78,51,4.79,98
Dream Theater,Six Degrees Of Inner Turbulence,2002,4.81,61,4.83,176
Dream Theater,Live Scenes From New York (Disc 1),2001,4.92,19,4.97,62
Dream Theater,Live Scenes From New York (Disc 3),2001,4.90,11,5.00,33
Dream Theater,Live Scenes From New York (Disc 2),2001,4.74,24,4.77,102
Dream Theater,Through Her Eyes (Single),2000,4.59,1,5.00,2
Dream Theater,Scenes From a Memory,1999,4.91,71,4.92,231
Dream Theater,Cleaning Out The Closet,1999,4.55,13,4.58,32
Dream Theater,Once In A Livetime (Disc 2),1998,4.74,16,4.78,70
Dream Theater,Once In A Livetime (Disc 1),1998,4.63,15,4.67,48
Dream Theater,Falling Into Infinity,1997,4.92,41,4.95,142
Dream Theater,Falling Into Infinity Demos Disc 1,1997,4.55,3,4.67,4
Dream Theater,Falling Into Infinity Demos Disc 2,1997,4.57,2,4.75,2
Dream Theater,A Change of Seasons,1995,4.84,48,4.85,121
Dream Theater,Awake,1994,4.71,55,4.72,173
Dream Theater,Live At The Marquee,1993,4.81,10,4.90,21
Dream Theater,Images And Words,1992,4.87,75,4.89,205
Dream Theater,When Dream And Day Unite,1989,4.55,12,4.58,25
Dreamgrave,Monuments,2017,4.19,2,4.00,13
Dreamgrave,Presentiment,2014,4.48,10,4.50,37
Dreaming Madmen,Ashes Of A Diary,2019,4.32,5,4.30,8
Dreamland,Exit 49,2009,4.32,2,4.25,4
Dreamquest,Lost Horizons,2006,4.32,2,4.25,7
Dreamscape,Everlight,2012,4.52,12,4.54,24
Dreamscape,5th Season,2007,4.68,8,4.75,48
Dreamscape,Revoiced,2005,4.48,12,4.50,43
Dreamscape,End Of Silence,2004,4.69,26,4.71,79
Dreamscape,Very,1999,4.25,7,4.21,24
Dreamwalkers Inc,A Night at the Theatre,2020,4.70,12,4.75,54
Dredg,El Cielo,2002,4.49,16,4.50,163
Dreyelands,Stages,2018,4.69,10,4.75,38
Dreyelands,Rooms of Revelation,2010,4.72,6,4.83,45
Driftglass,World Of Conversation,2019,4.15,3,4.00,3
Driftglass,All That Remains,2014,4.44,10,4.45,41
Driftglass,The Stranger (EP),2010,4.25,1,4.00,2
Drifting Sun,Forsaken Innocence,2021,4.71,16,4.75,31
Drifting Sun,Planet Junkie,2019,4.38,13,4.38,38
Drifting Sun,Twilight,2017,4.82,45,4.84,599
Drifting Sun,Safe Asylum,2016,4.49,17,4.50,139
Drifting Sun,Trip the Life Fantastic,2015,4.61,19,4.63,141
Drifting Sun,On the Rebound,1999,4.35,3,4.33,20
Dropshard,Silk,2014,4.57,2,4.75,8
Druckfarben,Second Sound,2014,3.98,9,3.89,77
Druckfarben,Druckfarben,2011,4.28,13,4.27,184
Dukes of the Orient,Dukes of the Orient,2018,4.65,36,4.67,291
Dün,Eros,1981,4.18,5,4.10,20
"Duncan Mackay, Georg Voros",The Bletchley Park Project,2017,4.25,11,4.23,75
Dunkan Mackay,Chimera,1974,4.38,8,4.37,14
Dweezil Zappa,Via Zammata',2015,4.47,5,4.50,5
Dweezil Zappa,Go With What You Know,2006,4.49,24,4.50,251
Dweezil Zappa,Automatic,2000,4.26,16,4.25,82
Dweezil Zappa,Confessions,1991,4.23,8,4.19,13
Dwhetstone,Breaking Down,2017,4.78,6,4.92,34
Dylan Furr,The Final Return,2021,4.38,4,4.38,27
Dynamic Lights,Shape,2005,4.19,2,4.00,3
Dynazty,The Dark Delight,2020,4.53,8,4.56,49
Dyscordia,Words In Ruin,2016,4.32,2,4.25,14
Dystopia,Building Bridges,2018,4.13,4,4.00,8
Early Cross,Pathfinder,2013,4.42,1,4.50,22
Earth And Fire,Song Of The Marching Children (Reissue),1971,4.19,2,4.00,14
Earth Electric,Vol.1: Solar,2017,4.47,6,4.50,10
Earth Flight,Riverdragons & Elephant Dreams,2018,4.52,9,4.56,40
EarthCry,Where The Road Leads,2012,4.59,1,5.00,12
Earthless,Black Heaven,2018,4.15,3,4.00,2
Earthless,From the Ages,2013,4.34,9,4.33,15
Earthrise,Day 2,2017,4.38,4,4.38,12
Earthside,A Dream in Static,2015,4.74,28,4.77,144
East of Eden,Snafu,1970,3.91,6,3.75,15
East of Eden,Mercator Projected,1969,4.13,12,4.08,24
Ebony Ark,When The City Is Quiet,2008,4.19,2,4.00,2
Eccentric Orbit,Creation of the Humanoids,2014,4.03,8,3.94,22
Eccentric Orbit,Attack of the Martians,2004,4.41,27,4.41,275
Echo Us,The Windsong Spires,2021,3.82,5,3.60,11
Echo Us,To Wake A Dream In Moving Water,2017,4.35,3,4.33,4
Echoes,The Black Cat's Step,2011,4.32,5,4.30,29
Echoes,Nature | Existence,2010,4.82,13,4.88,102
Echoes and Signals,Mercurial,2021,4.65,13,4.69,45
Echoes and Signals,Monodrama,2017,4.54,4,4.63,7
Echoes Of Eternity,Ageless,2019,4.22,6,4.17,7
Echoes Of Eternity,As Shadows Burn,2009,4.25,1,4.00,1
Echoes Of Eternity,The Forgotten Goddess,2007,4.48,12,4.50,22
Echoes of Giants,The Way to Us,2018,4.15,3,4.00,27
Echoes of Giants,At the End of Myself,2013,4.25,5,4.20,29
Echolyn,I Heard You Listening,2015,4.44,20,4.45,77
Echolyn,Echolyn (Disc 1),2012,4.71,16,4.75,322
Echolyn,Echolyn (Disc 2),2012,4.49,16,4.50,191
Echolyn,2012 singles,2012,4.47,7,4.50,63
Echolyn,The End Is Beautiful,2005,4.42,1,4.50,27
Echolyn,"Jersey Tomato, Volume 2 [live]",2003,4.77,21,4.81,283
Echolyn,Mei,2002,4.80,19,4.84,163
Echolyn,Cowboy Poems Free,2000,4.61,19,4.63,107
Echolyn,As The World,1995,4.33,8,4.31,296
Echolyn,...and Every Blossom (EP),1993,4.25,1,4.00,10
Echolyn,Suffocating the Bloom,1992,4.70,12,4.75,108
Echosilence,Distorted Horizon,2005,4.64,7,4.71,7
Echoterra,The Law Of One,2009,3.92,1,3.00,5
Echotest,Daughter Of Ocean,2019,4.05,3,3.83,20
Eclipse Sol-Air,Schizophilia,2013,4.16,6,4.08,51
Eclipse Sol-Air,Bartok's Crisis,2011,4.28,6,4.25,28
Eclipse Sol-Air,The Dark Side Guide,2009,4.09,1,3.50,1
Ed Bernard,Polydactyl,2015,4.28,22,4.27,161
Ed Wynne,Tumbling Through the Floativerse (with Gre Vanderloo) ,2022,4.25,7,4.21,5
Ed Wynne,Shimmer Into Nature,2019,4.53,7,4.57,34
Edain,Rephrased,2018,4.03,6,3.92,20
Eddie Jobson,Zinc / The Green Album,1983,4.43,16,4.44,211
Eddie Mulder,Blind Hunter,2021,4.38,4,4.38,5
Eden,Erwartung,1978,3.95,3,3.67,16
Eden Circus,Marula,2014,4.35,3,4.33,6
Eden Shadow,Melodies For Maladies,2016,4.25,1,4.00,1
Edenbridge,Solitaire Ltd.,2010,4.38,4,4.38,11
Edenbridge,MyEarthDream,2008,4.63,4,4.75,5
Edenbridge,The Grand Design,2006,4.48,8,4.50,14
Edenbridge,Shine,2004,3.94,2,3.50,7
Edenbridge,Arcana,2001,4.71,4,4.88,27
Edenbridge,Sunrise In Eden,2000,4.25,5,4.20,8
Edensong,Years In The Garden Of Years,2016,4.31,15,4.30,139
Edensong,Echoes of Edensong: From the Studio and Stage,2010,3.97,5,3.80,12
Edensong,The Fruit Fallen,2008,4.15,3,4.00,53
Edgar Froese,Epsilon In Malaysian Pale,1975,4.39,5,4.40,17
Edge of Reality,Vicious Circle,2016,4.25,5,4.20,10
Edgend,A New Identity,2009,4.73,12,4.79,63
Edguy,Hellfire Club,2004,4.28,6,4.25,11
Edguy,Mandrake,2001,4.11,9,4.06,24
Edguy,Theater Of Salvation,1999,4.49,15,4.50,34
Edison's Children,The Disturbance Fields,2019,4.10,11,4.05,29
